Date,District,Count
2021-08-30,Galle,23825
2021-08-30,Ratnapura,14232
2021-08-30,Matara,10085
2021-08-30,Matale,9001
2021-08-30,Nuwara Eliya,10514
2021-08-30,Kegalle,8324
2021-08-30,Jaffna,8692
2021-08-30,Badulla,9894
2021-08-30,Puttalam,8475
2021-08-30,Anuradhapura,6357
2021-08-30,Hambantota,8493
2021-08-30,Trincomalee,3700
2021-08-30,Monaragala,6327
2021-08-30,Polonnaruwa,3969
2021-08-30,Ampara,5275
2021-08-30,Kalmunai,3997
2021-08-30,Batticaloa,5596
2021-08-30,Vavuniya,2704
2021-08-30,Mullaitivu,1326
2021-08-30,Kilinochchi,3826
2021-08-30,Mannar,1668
2021-08-31,Colombo,98415
2021-08-31,Gampaha,79753
2021-08-31,Kalutara,43820
2021-08-31,Kandy,17608
2021-08-31,Kurunagala,21017
2021-08-31,Galle,24037
2021-08-31,Ratnapura,14606
2021-08-31,Matara,10185
2021-08-31,Matale,9092
2021-08-31,Nuwara Eliya,10686
2021-08-31,Kegalle,8530
2021-08-31,Jaffna,8828
2021-08-31,Badulla,9966
2021-08-31,Puttalam,8492
2021-08-31,Anuradhapura,6566
2021-08-31,Hambantota,8632
2021-08-31,Trincomalee,3720
2021-08-31,Monaragala,6537
2021-08-31,Polonnaruwa,3994
2021-08-31,Ampara,5296
2021-08-31,Kalmunai,4028
2021-08-31,Batticaloa,5667
2021-08-31,Vavuniya,2718
2021-08-31,Mullaitivu,1383
2021-08-31,Kilinochchi,3847
2021-08-31,Mannar,1683
2021-09-01,Colombo,99240
2021-09-01,Gampaha,80404
2021-09-01,Kalutara,44302
2021-09-01,Kandy,17737
2021-09-01,Kurunagala,21323
2021-09-01,Galle,24152
2021-09-01,Ratnapura,14794
2021-09-01,Matara,10235
2021-09-01,Matale,9146
2021-09-01,Nuwara Eliya,10697
2021-09-01,Kegalle,8599
2021-09-01,Jaffna,8978
2021-09-01,Badulla,9995
2021-09-01,Puttalam,8654
2021-09-01,Anuradhapura,7089
2021-09-01,Hambantota,8950
2021-09-01,Trincomalee,3742
2021-09-01,Monaragala,6842
2021-09-01,Polonnaruwa,4058
2021-09-01,Ampara,5298
2021-09-01,Kalmunai,4043
2021-09-01,Batticaloa,5730
2021-09-01,Vavuniya,2723
2021-09-01,Mullaitivu,1397
2021-09-01,Kilinochchi,3851
2021-09-01,Mannar,1687
